id,student_id,skill_proficiency,created_at
5d20a866-8a57-410c-a1da-646c6b67b97d,2f0365ea-a5ff-4b29-a672-2d9f2e9d73e8,"{""1a"":0.01,""2a"":-0.01,""2b"":-0.03,""3a"":0.08}",2026-05-20 07:08:14.722137
5e8390b6-90d3-4761-bc45-54198ff7f45a,d39a8b6c-74a4-4a8b-ac38-6ceb71b4354d,"{""1a"":0.25,""2a"":0.13,""2b"":0.28,""3a"":0.2}",2026-05-24 21:40:03.978292
5f9399db-7f51-41ab-927e-7317f360633f,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.7,""2a"":0.98,""2b"":0.1,""3a"":0.28}",2026-06-04 06:51:59.746829
61a43fc9-729c-416a-9fd4-9c6691f23b30,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.7,""2a"":0.47,""2b"":0.1,""3a"":0.28}",2026-05-20 04:29:37.879845
64fbb5ee-be03-4a53-ae45-eb2cb59d804b,e53b248a-25e7-40b5-814f-d65394615c3c,"{""1a"":0.11,""2a"":0.14,""2b"":0.01,""3a"":0.15}",2026-05-25 22:44:39.489403
6972e437-f7af-44b8-a68f-ff1a0f2e8ae5,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.7,""2a"":0.55,""2b"":0.1,""3a"":0.28}",2026-05-20 04:30:51.09269
69f53629-17e9-49e9-a132-07a2edc34132,fb60c9a7-813e-4397-b185-20ab9bce2c3c,{},2026-05-20 19:45:32.149183
6f20234d-abbc-4bb3-a3d4-a9ce53d38e76,c5129d74-1c0a-4067-b619-dfadbd918750,{},2026-05-26 13:46:46.084549
73c7c0e0-bb57-4d06-b46f-12e10e14e0f3,e67fb5bd-9bbf-4ffc-9b26-20767063beab,{},2026-05-13 15:54:32.008561
750ce477-bb26-4144-9764-3b5195c6375d,98c87153-7818-42f1-8c09-fda9838e598f,{},2026-05-13 16:16:04.010528
760b16d6-6505-475c-ad77-34429b131d29,d39a8b6c-74a4-4a8b-ac38-6ceb71b4354d,"{""1a"":0.2,""2a"":-0.02,""2b"":0.23,""3a"":0.1}",2026-05-21 02:36:12.807363
7872a6d1-2e89-4597-bbee-50ec247a993b,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.7,""2a"":0.49,""2b"":0.1,""3a"":0.28}",2026-05-20 04:36:36.323495
78a7ade8-71c7-4c04-a005-ca1438619e6e,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.54,""2a"":0.32,""2b"":0.1,""3a"":0.3}",2026-05-14 03:06:00.878872
79120dbf-0821-437d-825b-0d77c33fcf8d,c5129d74-1c0a-4067-b619-dfadbd918750,"{""1a"":0.07,""2a"":0.09,""2b"":0.02,""3a"":0.07}",2026-05-26 13:55:56.392875
7ac54335-0e3d-4706-a7c2-d0791c820f98,2f0365ea-a5ff-4b29-a672-2d9f2e9d73e8,"{""1a"":0.01,""2a"":-0.02,""2b"":-0.06,""3a"":-0.02}",2026-05-20 05:28:56.719661
7b3ab236-31b3-4d63-84c5-7f5b57edafec,89ee0f3c-ffb5-4f85-acd1-a7658abc09f6,{},2026-05-13 16:52:46.075943
7c9a56c0-acd7-4cd4-bc31-7ba6f5c319ec,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.7,""2a"":0.53,""2b"":0.1,""3a"":0.28}",2026-05-20 04:36:09.641186
7ea5fa03-7b73-4e2f-aba4-1762c67bf951,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.5,""2a"":0.4,""2b"":0.1,""3a"":0.28}",2026-05-19 02:42:31.722798
80e8f4e8-5015-45d2-a70f-bda6ff4d3bbe,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.7,""2a"":0.99,""2b"":0.1,""3a"":0.28}",2026-06-05 02:59:55.247453
820cd3c3-46db-4f61-8e88-91046a0ecd97,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.49,""2a"":0.41,""2b"":0.1,""3a"":0.28}",2026-05-20 04:11:25.554237
82f7cdf9-2f77-4ba9-baa3-35e94d3d8db2,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.46,""2a"":0.41,""2b"":0.1,""3a"":0.28}",2026-05-20 03:52:59.003766
847d38c4-26d5-4c3f-af66-0644fe23b8e7,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.7,""2a"":0.5,""2b"":0.1,""3a"":0.28}",2026-05-20 04:36:58.847247
8fa7ec51-2018-44ac-a2fc-919a6a638499,0d742029-1e08-45ed-9edc-2fc43d544633,"{""1a"":-0.05,""2a"":-0.02,""2b"":0.19,""3a"":0.2}",2026-05-21 03:42:48.602604
914ca77d-9ea8-4da7-b204-0e7d0e8abcae,761f8bff-82b6-420c-aaf0-d00b8f193205,{},2026-05-22 05:49:16.665109
94529dc6-8519-4a01-9b1d-fc4e998d10b3,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.55,""2a"":0.34,""2b"":0.1,""3a"":0.28}",2026-05-19 01:41:04.934279
98cfa59b-8ad9-4808-a12f-7010df26ff31,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.5,""2a"":0.38,""2b"":0.1,""3a"":0.28}",2026-05-20 03:25:49.983234
99df6e0b-35e8-4b48-a421-4234b45aa6e1,fb60c9a7-813e-4397-b185-20ab9bce2c3c,"{""2a"":0.03}",2026-05-20 19:48:13.452181
9c44e3ac-5ed8-4e61-ba0c-73e1fca28d94,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.5,""2a"":0.42,""2b"":0.1,""3a"":0.28}",2026-05-19 02:37:32.456401
9cd9df57-a1fe-40f4-8d55-b8743686cd45,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.7,""2a"":0.52,""2b"":0.1,""3a"":0.28}",2026-05-20 04:36:48.588898
9f45a18e-0c85-4550-a332-20a2466b115f,e743d197-a48b-47d5-95e6-45dc978cc348,{},2026-05-25 14:28:09.772078
a7bc19af-6c64-4684-bae5-8d6ef2dbfcb5,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.54,""2a"":0.41,""2b"":0.1,""3a"":0.28}",2026-05-20 04:11:37.043874
a7e8f9d7-5aab-4971-90c9-2cbdef1dac09,2f0365ea-a5ff-4b29-a672-2d9f2e9d73e8,"{""1a"":0.01,""2a"":-0.01,""2b"":-0.05,""3a"":0.13}",2026-06-05 03:03:24.105766
a7f7d0a6-a8c0-442d-8a59-a8b97e6ef64e,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.7,""2a"":0.87,""2b"":0.1,""3a"":0.28}",2026-06-01 02:25:10.430267
a843a708-aaa8-4902-a360-54d263b1c446,240e26f2-9371-4d04-ac1e-f0bdabd74804,"{""1a"":0.05,""2b"":0.05}",2026-06-05 18:05:12.387789
ab313186-6750-4431-8cf9-e79ebec5480f,063b47d1-94bb-4248-803a-a1393cff0085,"{""1a"":0.08,""2a"":0.13,""2b"":0.22,""3a"":0.2}",2026-06-02 18:54:24.305048
abf815a3-b001-4389-bc61-46d4686ec642,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.56,""2a"":0.34,""2b"":0.1,""3a"":0.28}",2026-05-19 01:45:31.198843
abff6082-e325-47c4-81b4-537262a8e285,34ec08ca-7564-4eca-b717-c1cdb2568607,{},2026-05-25 14:34:43.688772
aca32118-6380-4691-9cfb-7d29797c5f56,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.53,""2a"":0.29,""2b"":0.1,""3a"":0.34}",2026-05-14 02:40:06.647455
ade4b433-718b-41d7-a8c4-5cfac42e2baa,2f0365ea-a5ff-4b29-a672-2d9f2e9d73e8,"{""1a"":-0.04,""2a"":-0.02,""2b"":-0.04,""3a"":-0.02}",2026-05-20 05:28:47.684534
ae77105d-ac80-4b9c-abdf-2bd193dae9e2,3792864f-3238-40f9-8128-74a079a242c1,"{""1a"":0.05,""2a"":0.28,""2b"":0.09,""3a"":0.08}",2026-05-25 14:40:21.615754
b1164774-d182-436c-b4ef-881727a5cc90,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.55,""2a"":0.36,""2b"":0.1,""3a"":0.3}",2026-05-19 01:40:43.059586
b119432f-49f7-45d1-9f22-c22349a6596e,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.46,""2a"":0.36,""2b"":0.1,""3a"":0.28}",2026-05-20 03:52:23.592276
b150f19e-f9d9-4803-8b2b-078562afc52a,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.55,""2a"":0.33,""2b"":0.1,""3a"":0.3}",2026-05-19 01:40:24.502372
b2d9cb7f-bcc5-4f6a-ba2f-96d7b7c26d64,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.5,""2a"":0.36,""2b"":0.1,""3a"":0.28}",2026-05-20 03:49:17.025254
b6d49e58-9c43-4397-bdda-17ff3046ba3b,5e32fd5e-b454-4436-ae77-58f2114bed42,{},2026-05-14 03:59:29.726228
b6dcad38-a347-4bb0-90c0-9ccab6e50ae4,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.48,""2a"":0.36,""2b"":0.1,""3a"":0.28}",2026-05-20 03:49:34.627545
b7c4daf8-f7c0-49a5-bfe7-9ba773877d5f,6382470f-620e-441a-bc0b-75a9dd57f138,"{""1a"":0.29,""2a"":0.19,""2b"":0.13,""3a"":0.01}",2026-05-26 13:51:49.298589
b88e6ec0-1e8b-4ad2-adca-7a34f210f8f1,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.7,""2a"":0.78,""2b"":0.1,""3a"":0.28}",2026-05-22 02:40:25.874666
b91cc7cc-0c2f-40b9-86b8-487c60cd4f4f,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.7,""2a"":0.84,""2b"":0.1,""3a"":0.28}",2026-05-29 19:56:59.118967
