id,student_id,login_at,logout_at,duration_seconds,active
7de69e08-cb61-4daa-943d-c48c678272d8,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-14 03:13:31.981286,,,true
7e393f19-2986-4be9-8889-814832687979,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-13 14:38:37.054195,2026-05-13 14:38:57.28,20,false
7f36ba84-a9e5-4a25-b6e0-2ac4042add48,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 03:23:16.84211,2026-05-20 03:24:48.756,0,false
80e67b03-95b1-4e6c-a1c7-67d4b03ecd6e,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-12 06:23:56.799657,,,true
827a7167-e393-415f-971f-48a1458c6ed9,bc524b28-e88b-4548-bbd3-f3babf00539f,2026-06-05 13:30:40.937089,,,true
846ad758-202d-4af4-a253-285ac97217ee,bc1e82bc-0efb-4981-87cb-70db4b77f42f,2026-05-24 03:45:16.173858,,,true
8492cbda-9e09-4554-8ed8-781cb24a4901,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-13 04:18:32.724596,,,true
865890d9-d24a-4e08-8cc6-37e93faa03e7,e67fb5bd-9bbf-4ffc-9b26-20767063beab,2026-05-13 15:54:20.098813,2026-05-13 15:56:46.186,146,false
876c1985-fc48-4895-ab2a-c1ce9cfe17e2,b3fd9bd7-d975-4922-b6a8-e588e4c0f5ad,2026-05-19 01:31:00.081583,,,true
87b8de12-d069-4d19-a863-b623e36e2bdc,063b47d1-94bb-4248-803a-a1393cff0085,2026-05-31 20:11:16.862534,,,true
87d752c6-2b79-4c74-8c88-863c2a41e2d5,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 03:39:18.768875,,,true
88b78b0f-37a7-4b10-88e7-bc21a802827f,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-25 15:04:52.855855,2026-05-25 15:07:14.683,141,false
893cd9e8-c7d7-45b6-8cb7-305bbc77246d,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 03:16:55.521893,2026-05-20 03:24:59.466,0,false
89829163-7ad7-4c7b-87a1-3222504c6a6c,e743d197-a48b-47d5-95e6-45dc978cc348,2026-05-25 14:28:39.481382,,,true
8b39c3a3-1984-47a1-8e7b-80f4bf93a50f,903efe0e-7e7a-4c71-aff4-ff7c31298f41,2026-05-14 01:43:50.095313,,,true
8de3413a-bafd-4e00-aaf1-ffa5fe758a5d,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-06-04 15:39:17.216746,2026-06-04 15:39:19.165,1,false
9274ace7-c456-45e9-83ed-ae6c86af2905,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 04:54:50.348601,2026-05-20 04:55:13.853,0,false
94939406-f75c-4bb1-bb8e-048bf9fde29e,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-22 01:13:57.912058,2026-05-22 01:14:34.374,36,false
955f48af-fec9-4f21-b8ac-fee3c4cf97e5,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-19 01:45:19.255202,,,true
